code,name
SCA,深圳机场
SKU,嵊州新昌
BJQ,深圳东
SRH,宿州东
SZD,绥中
SUV,朔州
SZQ,深圳
SZN,随州
OXH,宿州
SZH,苏州
SZB,尚志
ONN,随州南
OZB,尚志南
IFQ,深圳坪山
QQJ,石嘴山
OSW,石柱县
OSQ,深圳西
TMK,泰安
TBB,通北
TCY,铜川东
TZR,塔城
TCX,汤池
TRQ,通道
TTN,土地堂东
TVX,塔尔气
TGY,潼关
TGV,太谷
TGP,塘沽
THR,吐哈
TAM,通海
THX,塔哈
TJN,天河机场
THG,泰和
TXX,塔河
TEN,天河街
TAU,太湖南
TTE,天河潭
THL,通化
TKH,太湖
TJB,同江
TOT,陶家屯
TVC,托克托东
TLX,泰来
TAR,吐鲁番北
TFR,吐鲁番
TLD,通辽
TJH,铜陵
TLT,铁岭
TLB,铁力
TLU,桐庐
PXT,铁岭西
TPT,陶赖昭
QSL,图们北
TML,图们
TMU,头门港
TMR,图木舒克
TNN,天门南
TVW,潼南
TNS,泰宁
RDQ,铜仁
TNW,铜仁南
FUP,唐山北
TFT,田师府
TAK,泰山
TSP,唐山
TSJ,天水
TIJ,天水南
THB,汤旺河
THN,汤逊湖
TSW,土溪
TYT,通远堡
TQT,太阳升
KTT,通榆
TBE,桐梓北
IZP,太子城
TEK,滕州东
TDE,桐梓东
TEU,台州
UTH,泰州
TOP,通州
TZH,台州西
TAP,通州西
WEQ,文昌
WCN,武昌
WCB,五常
WRN,武当山
WFK,潍坊
WDT,瓦房店
WFB,万发屯
WXT,瓦房店西
WGB,王岗
WGY,武功
WKK,威海
WVC,乌海
WHB,苇河
WHH,芜湖
WXC,乌海西
WIB,苇河西
WJE,温江
WUB,五家
WJT,吴家屯
WKT,五棵树
WPC,乌兰察布
WEB,万乐
VHH,温岭
WFN,乌龙泉南
WLW,武隆
WQC,乌拉特前旗
WWT,乌兰浩特
WNY,渭南
WBY,渭南北
WET,五女山
WXY,渭南西
WPT,沃皮
WQL,汪清
WWP,武清
WSE,武胜
WSM,威舍
WGC,乌审旗
WSR,乌苏
WIT,歪头山
WUJ,武威
WWJ,武威南
WWU,无为南
WJN,武穴北
WGH,无锡东
WXH,无锡
WXR,乌西
WXN,武穴
WYZ,吴圩
WOV,闻喜西
WBS,武夷山北
WWB,五营
WPB,乌伊岭
WAS,武夷山
WEJ,渭源
WYG,婺源
WYY,万源
WZE,万州北
WZZ,梧州
WYW,万州
WVJ,吴忠
RZH,温州
WBZ,梧州南
VRH,温州南
XDZ,兴安北
IQP,雄安
EGY,西安西
XVF,许昌东
XCD,兴城
ECH,宣城
ECW,西昌
XCF,许昌
XCE,西昌西
EWW,新都东
XFB,香坊
XFA,咸丰
XFT,西丰
XFW,息烽
NQQ,先锋
FVQ,湘府路
XGV,轩岗
XJN,孝感北
GDN,孝感东
XJA,香港西九龙
EUG,兴国
XIJ,西固
XGJ,夏官营
XHY,宣汉
EBC,兴和北
OKP,下花园北
EJQ,新化南
EFQ,新会
XLQ,新晃
XEC,兴和西
EWQ,新晃西
IRW,新津
ENP,辛集
XJB,徐家
NKQ,小金口
ITW,新津南
IJP,辛集南
XMT,谢家镇
XLE,西来
XDD,兴隆店
ELP,新乐
XPH,仙林
XLB,小岭
XTC,锡林浩特
EXP,兴隆县
XGT,新立镇
XZB,兴隆镇
XKS,厦门北
XOT,新民北
XMS,厦门
XMD,新民
XBS,厦门高崎
UNN,咸宁南
XAW,犀浦东
EMQ,溆浦南
XOS,霞浦
EPQ,溆浦
XIW,犀浦
ETW,秀山
XST,小市
EMN,兴山
ENM,西双版纳
XOB,新松浦
VTN,仙桃
XTQ,湘潭
XTG,向塘
EDP,邢台东
NUQ,新塘南
XNE,兴文
XWM,宣威
XWE,修文县
QSH,萧县北
RHB,新香坊北
EGF,新乡东
XOV,孝西
XQY,西乡
XIF,西峡
XXF,新乡
XXM,小新街
XUN,信阳
XUY,旬阳
XYY,咸阳
XXT,岫岩
XFN,襄阳
XBG,新余北
XYT,熊岳城
OYN,信阳东
EKN,襄阳东
XRZ,兴义
EEQ,信宜
XYA,秀英
XQM,祥云
XUG,新余
XOY,咸阳西
EZF,新郑机场
UUH,徐州东
XXV,忻州
XZT,新肇
XWN,襄州
XCH,徐州
FNQ,香樟路
IXV,忻州西
YAE,雅安
YWY,延安
YQS,永安南
YAX,依安
YFW,迎宾路
YBB,亚布力
YWB,亚布力南
YBD,叶柏寿
YXE,宜宾西
YSB,亚布力西
ABV,运城北
AEH,盐城北
WMW,永川东
HAN,宜昌东
AWW,岳池
YER,叶城
YQQ,阳春
YEG,宜春
YNV,运城
YCN,宜昌
AFH,盐城
YCB,伊春
YCV,榆次
YBP,杨村
YDJ,永登
YGH,雁荡山
YDG,于都
AOJ,姚渡
IIQ,英德西
IXQ,云浮东
YGW,燕岗
AJV,永济北
YJL,延吉
WRQ,阳江
YIV,永济
AJP,燕郊
YAT,姚家
YIR,英吉沙
YXL,延吉西
YGT,营口东
QUH,永康南
YKT,营口
YKX,牙克石
YEB,依兰
YSM,宜良北
YDY,永乐店
YLZ,玉林
ALY,榆林
YSY,杨陵
YAG,炎陵
YNY,阎良
YLM,杨林
YEY,杨陵南
YLD,余粮堡
YQP,杨柳青
TWQ,亚龙湾
YME,羊马
YXB,一面坡北
YRN,云梦东
YXJ,玉门
YPB,一面坡
AMM,元谋西
YKQ,郁南
YNR,伊宁东
YMR,伊宁
ADS,延平东
YAY,阳平关
YZW,玉屏
YPS,延平
YPV,原平
YWS,延平西
IPV,原平西
YPP,阳泉北
AYP,阳泉东
FGP,雁栖湖
YSR,焉耆
UPH,乐清
YNP,延庆
YYV,阳泉曲
YQT,姚千户屯
AQP,阳泉
YQV,阳曲
YQB,玉泉
IQV,阳曲西
YSV,榆社
YNG,玉山
NUW,营山
YRT,榆树
YSP,元氏
AOP,燕山
YGG,玉山南
YSX,榆树屯
CTQ,银滩
YAK,烟台
YTG,鹰潭
YTS,永泰
YKG,鹰潭北
YEX,伊图里河
YVR,依吞布拉克
YLK,烟台南
YSL,烟筒山
ATP,玉田县
YWH,义乌
AXM,玉溪
YBS,云霄
YXD,义县
YON,阳新
YUH,宜兴
YXS,尤溪
AEQ,益阳
YYQ,岳阳
YIQ,岳阳东
YAA,益阳南
YDU,扬州东
YUQ,崖州
AOQ,永州
YZK,兖州
YLH,扬州
IZJ,榆中
ZDS,诏安
ZRK,淄博北
ZBK,淄博
ZJJ,中川机场
ZDV,镇城底
ZHP,正定机场
ZDP,正定
ZER,准东
ZMN,纸坊东
ZGU,柘皋
ZGW,自贡北
ZGE,自贡
ZHQ,珠海
ZUT,庄河北
ZIQ,珠海北
ZLA,珠海长隆
VNH,中华门
ZIJ,张家川
ZAU,张家港
ZJZ,湛江
IZW,织金
ZIY,治江
ZPQ,芷江
ZDH,诸暨
ZJH,镇江
ZOB,周家
DIQ,张家界
ZMP,张家口
IXP,张家口南
ZEH,镇江南
ZWQ,湛江西
JXA,张家界西
ZKF,周口东
ZKN,周口
ZLT,镇赉
ZLY,庄里
ZSN,左岭
ZTX,扎兰屯
ZXX,扎赉诺尔西
ZDN,驻马店
ZGF,中牟
ZLN,驻马店西
ZPS,漳平
ZPR,泽普
ZXG,漳平西
ZVK,章丘北
FCQ,肇庆东
ZVQ,肇庆
ZTK,章丘
ZSY,柞水
ZHD,珠斯花
ZSQ,中山
ZSG,樟树
ZSE,朱砂古镇
ZIT,周水子
ZTA,中堂
ZDW,昭通
ZWJ,中卫
ZTJ,中卫南
ZXE,镇雄
ZVY,紫阳
ZYN,枣阳
FYW,资阳北
ZYJ,张掖
ZYE,遵义
ZUW,镇远
ZIW,遵义西
ZEJ,张掖西
WZW,资中北
GOS,漳州东
ZAP,涿州东
ZEK,枣庄
ZUS,漳州
ZZQ,株洲
